"route","grade","crag","date"
"Slither","5.7","Reimers Ranch","2022-06-27"
"Got a Dollar?","5.7","Reimers Ranch","2022-07-10"
"Crack Ate The Pipe","5.8","Reimers Ranch","2022-07-10"
"Still Smokin'","5.9","Reimers Ranch North Shore","2022-07-17"
"Hobbit Hole","5.7","Reimers Ranch North Shore","2022-07-29"
"Deceptive Warmup","5.11a","Reimers Ranch North Shore","2022-07-29"
"Scott's Pelotas","5.8","Reimers Ranch","2022-09-11"
"Lessa the Puramatic 6000 Kitty","5.5","Reimers Ranch","2022-09-25"
"Talk It Up","5.8","Reimers Ranch","2022-09-25"
"Gypsy's Magic","5.7","Reimers Ranch North Shore","2022-10-29"
"Dead Cats Don't Meow","5.10c","Reimers Ranch","2022-10-30"
"Reimerama","5.10a","Reimers Ranch","2022-10-30"
"Fancy Feast","5.11b","Reimers Ranch North Shore","2022-11-02"
"Rock Gypsy","5.7","Reimers Ranch North Shore","2022-11-05"
"Snagglefarkin","5.10c","Reimers Ranch North Shore","2022-11-05"
"Halfling's Leaf","5.8","Reimers Ranch North Shore","2022-11-05"
"8 It Grand","5.8","Reimers Ranch","2022-11-13"
"Cliptomania","5.11a","Reimers Ranch","2022-11-13"
"Arbortrary","5.8","Reimers Ranch","2022-11-27"
"Hack in the Fast Lane","5.9","Reimers Ranch","2022-11-27"
"Chainsaw","5.10d","Reimers Ranch","2022-11-27"
"Rhetorick","5.12a","Reimers Ranch","2022-12-03"
"Rolly Poly Cocoa Kitty","5.7","Reimers Ranch","2022-12-31"
"Elvin Beauty","5.10c","Reimers Ranch North Shore","2022-12-31"
"Bilbo's Bag","5.9","Reimers Ranch North Shore","2023-01-01"
"Troll Teeth","5.10b","Reimers Ranch North Shore","2023-01-01"
"Dude, Where's My Cat?","5.10c","Reimers Ranch","2023-01-08"
"Wife in the Fast Lane (Ground Start)","5.11a","Reimers Ranch","2023-01-13"
"God Bless the IRS","5.8","Reimers Ranch","2023-01-13"
"El Primero","5.9","Reimers Ranch","2023-01-13"
